Driver,LapNumber,LapTime_Seconds,Compound,TyreLife,Stint,TrackTemp,AirTemp,Race
SAR,52.0,92.088,SOFT,14.0,3.0,25.4,15.9,2024_Britain
LEC,50.0,95.383,HARD,16.0,3.0,23.5,18.2,2024_Bahrain
HAM,25.0,77.643,MEDIUM,25.0,1.0,39.5,25.3,2023_Monaco
PER,31.0,97.919,SOFT,16.0,2.0,30.6,27.1,2023_Bahrain
PIA,7.0,93.29,MEDIUM,7.0,1.0,29.8,21.5,2023_Britain
ALO,30.0,89.9,HARD,18.0,2.0,31.3,26.8,2024_Abu_Dhabi
PIA,34.0,93.405,HARD,28.0,2.0,31.5,25.5,2024_Saudi_Arabia
HAM,18.0,94.307,MEDIUM,18.0,1.0,31.5,25.5,2024_Saudi_Arabia
ZHO,58.0,79.368,HARD,17.0,3.0,41.150000000000006,24.1,2024_Spain
BOT,40.0,97.393,HARD,10.0,3.0,23.5,18.2,2024_Bahrain
PER,21.0,70.182,MEDIUM,21.0,2.0,32.0,22.5,2023_Austria
ALB,44.0,78.767,HARD,26.0,2.0,39.5,25.3,2023_Monaco
VER,42.0,99.227,HARD,19.0,3.0,29.9,18.7,2024_China
VER,42.0,78.074,MEDIUM,41.0,2.0,47.25,21.6,2024_Monaco
PIA,43.0,78.864,MEDIUM,4.0,3.0,31.75,22.2,2023_Spain
VER,50.0,94.783,SOFT,13.0,3.0,23.5,18.2,2024_Bahrain
ALB,34.0,90.026,HARD,18.0,2.0,32.8,26.9,2023_Abu_Dhabi
ZHO,5.0,90.462,MEDIUM,5.0,1.0,31.3,26.8,2024_Abu_Dhabi
BOT,12.0,113.411,MEDIUM,6.0,2.0,28.2,17.9,2023_Belgium
HUL,27.0,89.808,HARD,14.0,2.0,31.3,26.8,2024_Abu_Dhabi
RUS,19.0,92.807,SOFT,22.0,1.0,29.8,21.5,2023_Britain
VER,16.0,81.223,SOFT,19.0,1.0,41.150000000000006,24.1,2024_Spain
HAM,66.0,81.112,MEDIUM,13.0,3.0,46.5,29.5,2024_Austria
SAI,6.0,95.667,MEDIUM,6.0,1.0,31.6,26.0,2023_Saudi_Arabia
RUS,26.0,111.424,SOFT,4.0,2.0,28.2,17.9,2023_Belgium
ALB,52.0,91.809,SOFT,24.0,2.0,29.8,21.5,2023_Britain
RIC,28.0,95.285,HARD,21.0,2.0,31.5,25.5,2024_Saudi_Arabia
LEC,14.0,74.959,MEDIUM,14.0,2.0,32.0,22.5,2023_Austria
HAM,19.0,89.979,HARD,4.0,2.0,32.8,26.9,2023_Abu_Dhabi
ALO,41.0,95.574,HARD,8.0,4.0,39.0,22.1,2024_Japan
ALB,52.0,84.053,HARD,21.0,3.0,48.650000000000006,29.0,2023_Hungary
